"Papa ID","Device ID","Event Type","Date","Message ID","Payload","# of Hops"
"ASUPAPA2","ASUMAMA2","gps","2025-04-05T16:01:56.066+00:00","VTUY","Counter:6639 Temp:18.58 Hum:28.233 Press:97677.90 Gas:156097.56 Pred:0 Lat:33.42542 Lng:-111.9358 Alt:361.30","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-05T16:01:45.783+00:00","AZCS","Counter:6638 Temp:18.56 Hum:28.319 Press:97677.85 Gas:155104.52 Pred:0 Lat:33.42542 Lng:-111.9358 Alt:361.30","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-05T16:01:35.244+00:00","2PYG","Counter:6637 Temp:18.55 Hum:28.417 Press:97677.36 Gas:152608.05 Pred:0 Lat:33.42542 Lng:-111.9358 Alt:361.30","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-05T16:01:24.964+00:00","08ZZ","Counter:6636 Temp:18.54 Hum:28.454 Press:97677.20 Gas:152199.77 Pred:1 Lat:33.42542 Lng:-111.9358 Alt:361.30","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-05T16:01:14.52+00:00","XL1E","Counter:6635 Temp:18.52 Hum:28.447 Press:97676.77 Gas:153018.53 Pred:0 Lat:33.42542 Lng:-111.9358 Alt:361.30","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-05T16:01:04.049+00:00","G9BO","Counter:6634 Temp:18.51 Hum:28.458 Press:97676.67 Gas:152744.62 Pred:1 Lat:33.42542 Lng:-111.9358 Alt:361.30","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-05T16:00:53.937+00:00","760S","Counter:6633 Temp:18.50 Hum:28.408 Press:97676.16 Gas:155245.61 Pred:1 Lat:33.42542 Lng:-111.9358 Alt:361.30","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-05T16:00:43.345+00:00","PEW9","Counter:6632 Temp:18.50 Hum:28.375 Press:97676.31 Gas:156240.47 Pred:0 Lat:33.42542 Lng:-111.9358 Alt:361.30","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-05T16:00:33.045+00:00","7RIK","Counter:6631 Temp:18.51 Hum:28.381 Press:97676.24 Gas:155670.42 Pred:0 Lat:33.42542 Lng:-111.9358 Alt:361.30","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-05T16:00:22.543+00:00","S1A5","Counter:6630 Temp:18.50 Hum:28.391 Press:97676.13 Gas:155670.42 Pred:1 Lat:33.42542 Lng:-111.9358 Alt:361.30","1"
