"Papa ID","Device ID","Event Type","Date","Message ID","Payload","# of Hops"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:54:22.127+00:00","GX4B","Counter:1544 Temp:22.08 Hum:25.223 Press:96665.23 Gas:170269.38 Pred:0 Lat:33.42542 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:54:11.706+00:00","S3G1","Counter:1543 Temp:22.08 Hum:25.234 Press:96665.13 Gas:170439.42 Pred:1 Lat:33.42542 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:54:01.308+00:00","Q2MQ","Counter:1542 Temp:22.09 Hum:25.229 Press:96664.68 Gas:170099.67 Pred:0 Lat:33.42542 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:53:50.953+00:00","WSL1","Counter:1541 Temp:22.10 Hum:25.278 Press:96664.39 Gas:168587.42 Pred:0 Lat:33.42542 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:53:40.566+00:00","TG8A","Counter:1540 Temp:22.10 Hum:25.332 Press:96664.52 Gas:168587.42 Pred:1 Lat:33.42542 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:53:30.213+00:00","SLJ8","Counter:1539 Temp:22.11 Hum:25.322 Press:96664.12 Gas:169930.30 Pred:1 Lat:33.42542 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:53:19.808+00:00","BE0C","Counter:1538 Temp:22.11 Hum:25.317 Press:96664.38 Gas:168421.05 Pred:0 Lat:33.42542 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:53:09.476+00:00","UMVG","Counter:1537 Temp:22.12 Hum:25.312 Press:96665.12 Gas:168587.42 Pred:0 Lat:33.42523 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:52:59.037+00:00","84JY","Counter:1536 Temp:22.12 Hum:25.279 Press:96664.79 Gas:169424.22 Pred:0 Lat:33.42523 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:52:48.455+00:00","EAVF","Counter:1535 Temp:22.11 Hum:25.279 Press:96664.48 Gas:169424.22 Pred:0 Lat:33.42523 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:52:38.094+00:00","BCNO","Counter:1534 Temp:22.11 Hum:25.273 Press:96664.50 Gas:169761.27 Pred:0 Lat:33.42523 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:52:27.726+00:00","JV3C","Counter:1533 Temp:22.10 Hum:25.289 Press:96664.52 Gas:169592.58 Pred:0 Lat:33.42523 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:52:17.327+00:00","8IN4","Counter:1532 Temp:22.09 Hum:25.305 Press:96664.16 Gas:168921.14 Pred:0 Lat:33.42523 Lng:-111.9358 Alt:348.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:52:06.947+00:00","KW30","Counter:1531 Temp:22.09 Hum:25.321 Press:96664.08 Gas:169930.30 Pred:1 Lat:33.42524 Lng:-111.9358 Alt:349.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:51:56.573+00:00","YVSP","Counter:1530 Temp:22.09 Hum:25.321 Press:96663.98 Gas:169424.22 Pred:1 Lat:33.42524 Lng:-111.9358 Alt:349.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:51:46.169+00:00","VGJG","Counter:1529 Temp:22.11 Hum:25.295 Press:96663.74 Gas:169088.50 Pred:0 Lat:33.42528 Lng:-111.9358 Alt:349.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:51:35.68+00:00","5AJI","Counter:1528 Temp:22.12 Hum:25.355 Press:96663.66 Gas:167923.91 Pred:0 Lat:33.42528 Lng:-111.9358 Alt:349.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:51:25.303+00:00","BSQL","Counter:1527 Temp:22.12 Hum:25.387 Press:96663.94 Gas:168754.12 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:51:14.993+00:00","TY31","Counter:1526 Temp:22.12 Hum:25.377 Press:96664.36 Gas:168421.05 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:51:04.601+00:00","NCQP","Counter:1525 Temp:22.13 Hum:25.382 Press:96665.16 Gas:167758.84 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:50:54.25+00:00","UAY2","Counter:1524 Temp:22.13 Hum:25.394 Press:96665.34 Gas:167923.91 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:50:43.783+00:00","B325","Counter:1523 Temp:22.13 Hum:25.404 Press:96664.70 Gas:168754.12 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:50:33.43+00:00","PVAD","Counter:1522 Temp:22.14 Hum:25.410 Press:96665.02 Gas:168255.02 Pred:1 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:50:22.973+00:00","EM3O","Counter:1521 Temp:22.16 Hum:25.341 Press:96665.27 Gas:168255.02 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:50:12.593+00:00","N1CB","Counter:1520 Temp:22.18 Hum:25.290 Press:96665.62 Gas:167923.91 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:50:02.191+00:00","6LOC","Counter:1519 Temp:22.20 Hum:25.307 Press:96665.77 Gas:166612.44 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:49:51.748+00:00","J5OA","Counter:1518 Temp:22.21 Hum:25.313 Press:96666.40 Gas:167429.69 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:49:41.301+00:00","IUFF","Counter:1517 Temp:22.22 Hum:25.292 Press:96666.91 Gas:167429.69 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:49:30.893+00:00","VE1R","Counter:1516 Temp:22.22 Hum:25.292 Press:96667.18 Gas:167923.91 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.00","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:49:20.547+00:00","TFFM","Counter:1515 Temp:22.22 Hum:25.303 Press:96666.80 Gas:165803.11 Pred:0 Lat:33.42534 Lng:-111.9358 Alt:362.00","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:49:10.107+00:00","RW0L","Counter:1514 Temp:22.23 Hum:25.287 Press:96667.05 Gas:166287.75 Pred:0 Lat:33.42537 Lng:-111.9358 Alt:362.00","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:48:59.52+00:00","0UDH","Counter:1513 Temp:22.23 Hum:25.298 Press:96667.41 Gas:167429.69 Pred:0 Lat:33.42537 Lng:-111.9358 Alt:362.00","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:48:49.158+00:00","NS8E","Counter:1512 Temp:22.24 Hum:25.299 Press:96667.80 Gas:167923.91 Pred:1 Lat:33.42532 Lng:-111.9358 Alt:362.00","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-18T05:48:38.741+00:00","QZFF","Counter:1511 Temp:22.25 Hum:25.272 Press:96667.52 Gas:167758.84 Pred:1 Lat:33.42532 Lng:-111.9358 Alt:362.00","1"
