"Papa ID","Device ID","Event Type","Date","Message ID","Payload","# of Hops"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:15:33.363+00:00","D2QQ","Counter:1009 Temp:30.72 Hum:7.693 Press:96635.12 Gas:154263.33 Pred:1 Lat:33.42548 Lng:-111.9358 Alt:399.40","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:15:23.023+00:00","3I6O","Counter:1008 Temp:30.73 Hum:7.656 Press:96635.58 Gas:153707.59 Pred:0 Lat:33.42549 Lng:-111.9358 Alt:394.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:15:12.618+00:00","0RWL","Counter:1007 Temp:30.75 Hum:7.760 Press:96636.30 Gas:152471.70 Pred:0 Lat:33.42549 Lng:-111.9358 Alt:394.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:15:04.789+00:00","HTCT","Counter:1006 Temp:30.78 Hum:7.846 Press:96636.48 Gas:150987.91 Pred:1 Lat:33.42549 Lng:-111.9358 Alt:394.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:14:51.886+00:00","WM7M","Counter:1005 Temp:30.80 Hum:7.813 Press:96636.09 Gas:150721.22 Pred:1 Lat:33.42540 Lng:-111.9358 Alt:397.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:14:41.526+00:00","JLOB","Counter:1004 Temp:30.81 Hum:7.804 Press:96636.27 Gas:150322.95 Pred:0 Lat:33.42540 Lng:-111.9358 Alt:397.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:14:20.672+00:00","FMKR","Counter:1002 Temp:30.80 Hum:7.799 Press:96636.25 Gas:149532.70 Pred:1 Lat:33.42540 Lng:-111.9358 Alt:397.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:14:10.343+00:00","GNMS","Counter:1001 Temp:30.78 Hum:7.756 Press:96636.43 Gas:150190.67 Pred:0 Lat:33.42540 Lng:-111.9358 Alt:397.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:14:02.28+00:00","NF0S","Counter:1000 Temp:30.75 Hum:7.770 Press:96636.74 Gas:148362.80 Pred:1 Lat:33.42540 Lng:-111.9358 Alt:397.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:13:49.46+00:00","MG2M","Counter:999 Temp:30.71 Hum:7.736 Press:96636.74 Gas:149271.14 Pred:0 Lat:33.42540 Lng:-111.9358 Alt:397.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:13:41.275+00:00","FMF1","Counter:998 Temp:30.67 Hum:7.796 Press:96636.84 Gas:151255.55 Pred:1 Lat:33.42553 Lng:-111.9357 Alt:397.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:13:18.185+00:00","2R5V","Counter:996 Temp:30.63 Hum:7.875 Press:96637.88 Gas:151255.55 Pred:0 Lat:33.42553 Lng:-111.9357 Alt:397.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:13:07.778+00:00","NWHY","Counter:995 Temp:30.62 Hum:7.748 Press:96638.59 Gas:151793.66 Pred:0 Lat:33.42553 Lng:-111.9357 Alt:397.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:12:57.633+00:00","F455","Counter:994 Temp:30.64 Hum:7.776 Press:96638.89 Gas:153431.22 Pred:0 Lat:33.42581 Lng:-111.9357 Alt:416.91","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:12:47.037+00:00","LGM0","Counter:993 Temp:30.67 Hum:7.895 Press:96638.81 Gas:151389.70 Pred:0 Lat:33.42581 Lng:-111.9357 Alt:416.91","1"
